"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25953","EpamInsightsPage_SearchFunctionalityCheck","","Thu Nov 14 19:26:38 GMT 2024","passed","Thu Nov 14 19:27:04 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","16722","Google_NetworkConnectionCheck","","Thu Nov 14 19:26:38 GMT 2024","passed","Thu Nov 14 19:26:55 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","26959","EpamHomepage_TitleCheck","","Thu Nov 14 19:26:38 GMT 2024","passed","Thu Nov 14 19:27:05 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","25247","EpamInsightsPage_FindButtonRedirectCheck","","Thu Nov 14 19:26:38 GMT 2024","passed","Thu Nov 14 19:27:04 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","27334","EpamHomepage_HamburgerMenu","","Thu Nov 14 19:26:38 GMT 2024","passed","Thu Nov 14 19:27:06 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
