"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 27 11:19:40 GMT 2024","Sun Oct 27 11:19:53 GMT 2024","13233","","EpamWebTests.PageTests.InsightsPageTests","","EpamWebTests.PageTests.InsightsPageTests","","EpamInsightsPage_SearchFunctionalityCheck",""
"passed","Sun Oct 27 11:19:40 GMT 2024","Sun Oct 27 11:19:51 GMT 2024","10896","","EpamWebTests.PageTests.Tests","","EpamWebTests.PageTests.Tests","","EpamHomepage_TitleCheck",""
"passed","Sun Oct 27 11:19:40 GMT 2024","Sun Oct 27 11:19:52 GMT 2024","12010","","EpamWebTests.PageTests.Tests","","EpamWebTests.PageTests.Tests","","EpamHomepage_HamburgerMenu",""
"passed","Sun Oct 27 11:19:40 GMT 2024","Sun Oct 27 11:19:53 GMT 2024","12408","","EpamWebTests.PageTests.InsightsPageTests","","EpamWebTests.PageTests.InsightsPageTests","","EpamInsightsPage_FindButtonRedirectCheck",""
