"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25029","EpamInsightsPage_FindButtonRedirectCheck","","Thu Nov 14 14:19:17 GMT 2024","passed","Thu Nov 14 14:19:42 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","27266","EpamInsightsPage_SearchFunctionalityCheck","","Thu Nov 14 14:19:17 GMT 2024","passed","Thu Nov 14 14:19:44 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","28080","EpamHomepage_TitleCheck","","Thu Nov 14 14:19:17 GMT 2024","passed","Thu Nov 14 14:19:45 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","28151","EpamHomepage_HamburgerMenu","","Thu Nov 14 14:19:17 GMT 2024","passed","Thu Nov 14 14:19:45 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","18470","Google_NetworkConnectionCheck","","Thu Nov 14 14:19:17 GMT 2024","passed","Thu Nov 14 14:19:35 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
