"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22625","Insights Page Find Button Redirect Check","","Wed Nov 27 11:12:47 GMT 2024","passed","Wed Nov 27 11:13:09 GMT 2024","","","InsightsPageTests","EpamInsightsPage_FindButtonRedirectCheck"
"","21980","Insights Page Search Functionality Check","","Wed Nov 27 11:12:47 GMT 2024","passed","Wed Nov 27 11:13:09 GMT 2024","","","InsightsPageTests","EpamInsightsPage_SearchFunctionalityCheck"
"","23555","EPAM Homepage Title Check","","Wed Nov 27 11:12:47 GMT 2024","passed","Wed Nov 27 11:13:10 GMT 2024","","","Tests","EpamHomepage_TitleCheck"
"","10799","GetPostById_ShouldReturnCorrectPost","","Wed Nov 27 11:12:47 GMT 2024","passed","Wed Nov 27 11:12:57 GMT 2024","","","ApiTests","GetPostById_ShouldReturnCorrectPost"
"","23620","EPAM Homepage Hamburger Menu Check","","Wed Nov 27 11:12:47 GMT 2024","passed","Wed Nov 27 11:13:10 GMT 2024","","","Tests","EpamHomepage_HamburgerMenu"
"","10811","CreatePost_ShouldReturnNewPost","","Wed Nov 27 11:12:47 GMT 2024","passed","Wed Nov 27 11:12:57 GMT 2024","","","ApiTests","CreatePost_ShouldReturnNewPost"
"Checking Google Connection","14144","Google Title Check","","Wed Nov 27 11:12:47 GMT 2024","passed","Wed Nov 27 11:13:01 GMT 2024","","","Tests","Google_NetworkConnectionCheck"
"","10971","GetPosts_ShouldReturnListOfPosts","","Wed Nov 27 11:12:47 GMT 2024","passed","Wed Nov 27 11:12:58 GMT 2024","","","ApiTests","GetPosts_ShouldReturnListOfPosts"
