"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11129","EpamInsightsPage_FindButtonRedirectCheck","","Tue Nov 19 12:09:11 GMT 2024","passed","Tue Nov 19 12:09:22 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","13636","EpamHomepage_TitleCheck","","Tue Nov 19 12:09:11 GMT 2024","passed","Tue Nov 19 12:09:25 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","14898","EpamHomepage_HamburgerMenu","","Tue Nov 19 12:09:11 GMT 2024","passed","Tue Nov 19 12:09:26 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","5758","Google_NetworkConnectionCheck","","Tue Nov 19 12:09:11 GMT 2024","passed","Tue Nov 19 12:09:17 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","12399","EpamInsightsPage_SearchFunctionalityCheck","","Tue Nov 19 12:09:11 GMT 2024","passed","Tue Nov 19 12:09:24 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
