"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10817","Google_NetworkConnectionCheck","","Thu Nov 14 11:59:01 GMT 2024","passed","Thu Nov 14 11:59:11 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","20629","EpamHomepage_TitleCheck","","Thu Nov 14 11:59:01 GMT 2024","passed","Thu Nov 14 11:59:21 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","18874","EpamInsightsPage_SearchFunctionalityCheck","","Thu Nov 14 11:59:01 GMT 2024","passed","Thu Nov 14 11:59:20 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","18789","EpamInsightsPage_FindButtonRedirectCheck","","Thu Nov 14 11:59:01 GMT 2024","passed","Thu Nov 14 11:59:19 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","20557","EpamHomepage_HamburgerMenu","","Thu Nov 14 11:59:01 GMT 2024","passed","Thu Nov 14 11:59:21 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
