"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 18:22:17 GMT 2024","Thu Oct 24 18:22:30 GMT 2024","12596","","EpamWebTests.PageTests.Tests","","EpamWebTests.PageTests.Tests","","EpamHomepage_HamburgerMenu",""
"passed","Thu Oct 24 18:22:17 GMT 2024","Thu Oct 24 18:22:30 GMT 2024","12730","","EpamWebTests.PageTests.InsightsPageTests","","EpamWebTests.PageTests.InsightsPageTests","","EpamInsightsPage_FindButtonRedirectCheck",""
"failed","Thu Oct 24 18:22:17 GMT 2024","Thu Oct 24 18:22:26 GMT 2024","8611","","EpamWebTests.PageTests.InsightsPageTests","","EpamWebTests.PageTests.InsightsPageTests","","EpamInsightsPage_SearchFunctionalityCheck",""
"passed","Thu Oct 24 18:22:17 GMT 2024","Thu Oct 24 18:22:29 GMT 2024","11667","","EpamWebTests.PageTests.Tests","","EpamWebTests.PageTests.Tests","","EpamHomepage_TitleCheck",""
