"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12096","EpamInsightsPage_FindButtonRedirectCheck","","Tue Nov 12 13:58:08 GMT 2024","passed","Tue Nov 12 13:58:20 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","6831","Google_NetworkConnectionCheck","","Tue Nov 12 13:58:08 GMT 2024","passed","Tue Nov 12 13:58:14 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","16619","EpamHomepage_TitleCheck","","Tue Nov 12 13:58:08 GMT 2024","passed","Tue Nov 12 13:58:24 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","17221","EpamHomepage_HamburgerMenu","","Tue Nov 12 13:58:08 GMT 2024","passed","Tue Nov 12 13:58:25 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","18026","EpamInsightsPage_SearchFunctionalityCheck","","Tue Nov 12 13:58:08 GMT 2024","failed","Tue Nov 12 13:58:26 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
