"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15671","Insights Page Find Button Redirect Check","","Fri Nov 22 14:06:08 GMT 2024","passed","Fri Nov 22 14:06:24 GMT 2024","","","InsightsPageTests","EpamInsightsPage_FindButtonRedirectCheck"
"Checking Google Connection","7409","Google Title Check","","Fri Nov 22 14:06:08 GMT 2024","passed","Fri Nov 22 14:06:15 GMT 2024","","","Tests","Google_NetworkConnectionCheck"
"","16437","EPAM Homepage Hamburger Menu Check","","Fri Nov 22 14:06:08 GMT 2024","passed","Fri Nov 22 14:06:24 GMT 2024","","","Tests","EpamHomepage_HamburgerMenu"
"","16374","EPAM Homepage Title Check","","Fri Nov 22 14:06:08 GMT 2024","passed","Fri Nov 22 14:06:24 GMT 2024","","","Tests","EpamHomepage_TitleCheck"
"","13930","Insights Page Search Functionality Check","","Fri Nov 22 14:06:08 GMT 2024","passed","Fri Nov 22 14:06:22 GMT 2024","","","InsightsPageTests","EpamInsightsPage_SearchFunctionalityCheck"
