"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15428","EpamInsightsPage_FindButtonRedirectCheck","","Thu Nov 14 13:04:17 GMT 2024","passed","Thu Nov 14 13:04:32 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","16581","EpamHomepage_HamburgerMenu","","Thu Nov 14 13:04:17 GMT 2024","passed","Thu Nov 14 13:04:33 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","6289","Google_NetworkConnectionCheck","","Thu Nov 14 13:04:17 GMT 2024","passed","Thu Nov 14 13:04:23 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","15887","EpamHomepage_TitleCheck","","Thu Nov 14 13:04:17 GMT 2024","passed","Thu Nov 14 13:04:32 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","16227","EpamInsightsPage_SearchFunctionalityCheck","","Thu Nov 14 13:04:17 GMT 2024","passed","Thu Nov 14 13:04:33 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
