"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15709","EpamInsightsPage_FindButtonRedirectCheck","","Thu Nov 07 20:12:59 GMT 2024","passed","Thu Nov 07 20:13:15 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","16316","EpamInsightsPage_SearchFunctionalityCheck","","Thu Nov 07 20:12:59 GMT 2024","passed","Thu Nov 07 20:13:15 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","15854","EpamHomepage_TitleCheck","","Thu Nov 07 20:12:59 GMT 2024","failed","Thu Nov 07 20:13:15 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","6550","Google_NetworkConnectionCheck","","Thu Nov 07 20:12:59 GMT 2024","passed","Thu Nov 07 20:13:06 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","15326","EpamHomepage_HamburgerMenu","","Thu Nov 07 20:12:59 GMT 2024","failed","Thu Nov 07 20:13:14 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
