"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20331","EpamHomepage_TitleCheck","","Thu Nov 14 10:26:42 GMT 2024","passed","Thu Nov 14 10:27:02 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","20700","EpamHomepage_HamburgerMenu","","Thu Nov 14 10:26:42 GMT 2024","passed","Thu Nov 14 10:27:03 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","17512","EpamInsightsPage_FindButtonRedirectCheck","","Thu Nov 14 10:26:42 GMT 2024","passed","Thu Nov 14 10:27:00 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","19206","EpamInsightsPage_SearchFunctionalityCheck","","Thu Nov 14 10:26:42 GMT 2024","passed","Thu Nov 14 10:27:01 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","12333","Google_NetworkConnectionCheck","","Thu Nov 14 10:26:42 GMT 2024","passed","Thu Nov 14 10:26:54 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
