"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76","Insights Page Find Button Redirect Check","","Wed Nov 27 11:08:34 GMT 2024","broken","Wed Nov 27 11:08:34 GMT 2024","","","InsightsPageTests","EpamInsightsPage_FindButtonRedirectCheck"
"","68","Insights Page Search Functionality Check","","Wed Nov 27 11:08:34 GMT 2024","broken","Wed Nov 27 11:08:34 GMT 2024","","","InsightsPageTests","EpamInsightsPage_SearchFunctionalityCheck"
"","45","EPAM Homepage Hamburger Menu Check","","Wed Nov 27 11:08:34 GMT 2024","broken","Wed Nov 27 11:08:34 GMT 2024","","","Tests","EpamHomepage_HamburgerMenu"
"","8762","GET posts","","Wed Nov 27 11:08:34 GMT 2024","passed","Wed Nov 27 11:08:42 GMT 2024","","","ApiTests","GetPosts_ShouldReturnListOfPosts"
"","68","Google Title Check","","Wed Nov 27 11:08:34 GMT 2024","broken","Wed Nov 27 11:08:34 GMT 2024","","","Tests","Google_NetworkConnectionCheck"
"","8757","POST a post","","Wed Nov 27 11:08:34 GMT 2024","passed","Wed Nov 27 11:08:42 GMT 2024","","","ApiTests","CreatePost_ShouldReturnNewPost"
"","80","EPAM Homepage Title Check","","Wed Nov 27 11:08:34 GMT 2024","broken","Wed Nov 27 11:08:34 GMT 2024","","","Tests","EpamHomepage_TitleCheck"
"","8762","GET post by ID","","Wed Nov 27 11:08:34 GMT 2024","passed","Wed Nov 27 11:08:42 GMT 2024","","","ApiTests","GetPostById_ShouldReturnCorrectPost"
