"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 29 11:01:13 GMT 2024","Tue Oct 29 11:01:27 GMT 2024","14043","","EpamWebTests.PageTests.Tests","","EpamWebTests.PageTests.Tests","","EpamHomepage_HamburgerMenu",""
"passed","Tue Oct 29 11:01:13 GMT 2024","Tue Oct 29 11:01:27 GMT 2024","13948","","EpamWebTests.PageTests.Tests","","EpamWebTests.PageTests.Tests","","EpamHomepage_TitleCheck",""
"passed","Tue Oct 29 11:01:13 GMT 2024","Tue Oct 29 11:01:26 GMT 2024","12675","","EpamWebTests.PageTests.InsightsPageTests","","EpamWebTests.PageTests.InsightsPageTests","","EpamInsightsPage_SearchFunctionalityCheck",""
"passed","Tue Oct 29 11:01:13 GMT 2024","Tue Oct 29 11:01:24 GMT 2024","11276","","EpamWebTests.PageTests.InsightsPageTests","","EpamWebTests.PageTests.InsightsPageTests","","EpamInsightsPage_FindButtonRedirectCheck",""
