"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23474","EpamHomepage_TitleCheck","","Fri Nov 15 10:12:26 GMT 2024","passed","Fri Nov 15 10:12:49 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","14359","Google_NetworkConnectionCheck","","Fri Nov 15 10:12:26 GMT 2024","passed","Fri Nov 15 10:12:40 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","22254","EpamInsightsPage_SearchFunctionalityCheck","","Fri Nov 15 10:12:26 GMT 2024","passed","Fri Nov 15 10:12:48 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","22024","EpamInsightsPage_FindButtonRedirectCheck","","Fri Nov 15 10:12:26 GMT 2024","passed","Fri Nov 15 10:12:48 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","23863","EpamHomepage_HamburgerMenu","","Fri Nov 15 10:12:26 GMT 2024","passed","Fri Nov 15 10:12:50 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
