"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24244","Insights Page Find Button Redirect Check","","Wed Nov 27 12:24:42 GMT 2024","passed","Wed Nov 27 12:25:06 GMT 2024","","","InsightsPageTests","EpamInsightsPage_FindButtonRedirectCheck"
"","14798","GET posts","","Wed Nov 27 12:24:42 GMT 2024","passed","Wed Nov 27 12:24:57 GMT 2024","","","ApiTests","GetPosts_ShouldReturnListOfPosts"
"","15105","POST a post","","Wed Nov 27 12:24:42 GMT 2024","passed","Wed Nov 27 12:24:57 GMT 2024","","","ApiTests","CreatePost_ShouldReturnNewPost"
"Checking Google Connection","18505","Google Title Check","","Wed Nov 27 12:24:42 GMT 2024","passed","Wed Nov 27 12:25:00 GMT 2024","","","Tests","Google_NetworkConnectionCheck"
"","14789","GET post by ID","","Wed Nov 27 12:24:42 GMT 2024","passed","Wed Nov 27 12:24:57 GMT 2024","","","ApiTests","GetPostById_ShouldReturnCorrectPost"
"","26305","EPAM Homepage Title Check","","Wed Nov 27 12:24:42 GMT 2024","passed","Wed Nov 27 12:25:08 GMT 2024","","","Tests","EpamHomepage_TitleCheck"
"","26868","EPAM Homepage Hamburger Menu Check","","Wed Nov 27 12:24:42 GMT 2024","passed","Wed Nov 27 12:25:09 GMT 2024","","","Tests","EpamHomepage_HamburgerMenu"
"","24997","Insights Page Search Functionality Check","","Wed Nov 27 12:24:42 GMT 2024","passed","Wed Nov 27 12:25:07 GMT 2024","","","InsightsPageTests","EpamInsightsPage_SearchFunctionalityCheck"
