"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14350","EpamInsightsPage_SearchFunctionalityCheck","","Fri Nov 15 13:08:08 GMT 2024","passed","Fri Nov 15 13:08:22 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","15847","EpamHomepage_HamburgerMenu","","Fri Nov 15 13:08:08 GMT 2024","passed","Fri Nov 15 13:08:24 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","16027","EpamHomepage_TitleCheck","","Fri Nov 15 13:08:08 GMT 2024","passed","Fri Nov 15 13:08:24 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","13793","EpamInsightsPage_FindButtonRedirectCheck","","Fri Nov 15 13:08:08 GMT 2024","passed","Fri Nov 15 13:08:22 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","6864","Google_NetworkConnectionCheck","","Fri Nov 15 13:08:08 GMT 2024","passed","Fri Nov 15 13:08:15 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
