"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7330","POST a post","","Wed Nov 27 14:09:13 GMT 2024","passed","Wed Nov 27 14:09:20 GMT 2024","","","ApiTests","CreatePost_ShouldReturnNewPost"
"","6962","GET post by ID","","Wed Nov 27 14:09:13 GMT 2024","passed","Wed Nov 27 14:09:20 GMT 2024","","","ApiTests","GetPostById_ShouldReturnCorrectPost"
"","14324","Insights Page Find Button Redirect Check","","Wed Nov 27 14:09:13 GMT 2024","passed","Wed Nov 27 14:09:27 GMT 2024","","","InsightsPageTests","EpamInsightsPage_FindButtonRedirectCheck"
"","7093","GET posts","","Wed Nov 27 14:09:13 GMT 2024","passed","Wed Nov 27 14:09:20 GMT 2024","","","ApiTests","GetPosts_ShouldReturnListOfPosts"
"Checking Google Connection","8619","Google Title Check","","Wed Nov 27 14:09:13 GMT 2024","passed","Wed Nov 27 14:09:22 GMT 2024","","","Tests","Google_NetworkConnectionCheck"
"","16795","EPAM Homepage Hamburger Menu Check","","Wed Nov 27 14:09:13 GMT 2024","passed","Wed Nov 27 14:09:30 GMT 2024","","","Tests","EpamHomepage_HamburgerMenu"
"","15329","Insights Page Search Functionality Check","","Wed Nov 27 14:09:13 GMT 2024","passed","Wed Nov 27 14:09:28 GMT 2024","","","InsightsPageTests","EpamInsightsPage_SearchFunctionalityCheck"
"","15936","EPAM Homepage Title Check","","Wed Nov 27 14:09:13 GMT 2024","passed","Wed Nov 27 14:09:29 GMT 2024","","","Tests","EpamHomepage_TitleCheck"
