"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25111","EpamInsightsPage_FindButtonRedirectCheck","","Wed Nov 13 12:23:23 GMT 2024","passed","Wed Nov 13 12:23:48 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","18018","Google_NetworkConnectionCheck","","Wed Nov 13 12:23:23 GMT 2024","passed","Wed Nov 13 12:23:41 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","25938","EpamInsightsPage_SearchFunctionalityCheck","","Wed Nov 13 12:23:23 GMT 2024","passed","Wed Nov 13 12:23:49 GMT 2024","","EpamWebTests.PageTests.InsightsPageTests","EpamWebTests.PageTests.InsightsPageTests",""
"","27317","EpamHomepage_TitleCheck","","Wed Nov 13 12:23:23 GMT 2024","passed","Wed Nov 13 12:23:50 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
"","27168","EpamHomepage_HamburgerMenu","","Wed Nov 13 12:23:23 GMT 2024","passed","Wed Nov 13 12:23:50 GMT 2024","","EpamWebTests.PageTests.Tests","EpamWebTests.PageTests.Tests",""
